Month,Crude Oil (petroleum) Price (Indian Rupee per Barrel),Gasoline Price (Indian Rupee per Gallon)
6/1/2005,"2,348.85",65.77
7/1/2005,"2,454.20",69.27
8/1/2005,"2,700.01",84.5
9/1/2005,"2,709.21",93.67
10/1/2005,"2,608.22",76.6
11/1/2005,"2,516.77",67.22
12/1/2005,"2,576.49",73.05
1/1/2006,"2,773.13",77.03
2/1/2006,"2,646.56",66.45
3/1/2006,"2,709.89",78.5
4/1/2006,"3,055.21",95.97
5/1/2006,"3,118.70",92.73
6/1/2006,"3,145.13",95.1
7/1/2006,"3,365.75",103.92
8/1/2006,"3,341.97",94.85
9/1/2006,"2,865.03",73.01
10/1/2006,"2,633.08",68.48
11/1/2006,"2,607.99",71.23
12/1/2006,"2,722.26",74.54
1/1/2007,"2,373.05",63.49
2/1/2007,"2,541.99",72.43
3/1/2007,"2,667.95",85.32
4/1/2007,"2,742.35",88.73
5/1/2007,"2,658.01",91.58
6/1/2007,"2,779.56",89.11
7/1/2007,"2,974.64",86.37
8/1/2007,"2,862.54",81.8
9/1/2007,"3,096.50",84.79
10/1/2007,"3,238.90",85.7
11/1/2007,"3,602.45",95.6
12/1/2007,"3,530.67",91.9
1/1/2008,"3,570.71",91.9
2/1/2008,"3,710.34",94.6
3/1/2008,"4,109.92",101.05
4/1/2008,"4,353.72",110.56
5/1/2008,"5,165.85",130.5
6/1/2008,"5,631.69",140.96
7/1/2008,"5,689.98",134.85
8/1/2008,"4,919.52",124.39
9/1/2008,"4,540.91",127.81
10/1/2008,"3,535.80",93.39
11/1/2008,"2,644.71",62.87
12/1/2008,"2,010.86",46.5
1/1/2009,"2,142.12",55.97
2/1/2009,"2,059.46",59.85
3/1/2009,"2,391.75",66.04
4/1/2009,"2,517.58",69.05
5/1/2009,"2,822.25",81.97
6/1/2009,"3,303.55",91.06
7/1/2009,"3,137.00",84.89
8/1/2009,"3,461.09",93.26
9/1/2009,"3,310.80",86.17
10/1/2009,"3,461.10",89.89
11/1/2009,"3,611.43",92.35
12/1/2009,"3,491.65",89.48
1/1/2010,"3,541.88",93.69
2/1/2010,"3,463.32",90.94
3/1/2010,"3,607.99",97.37
4/1/2010,"3,745.92",99.1
5/1/2010,"3,461.17",92.41
6/1/2010,"3,479.77",93.78
7/1/2010,"3,495.72",93.51
8/1/2010,"3,531.14",90.48
9/1/2010,"3,504.32",90.65
10/1/2010,"3,629.80",96.12
11/1/2010,"3,793.46",100.7
12/1/2010,"4,065.66",107.91
1/1/2011,"4,206.66",111.1
2/1/2011,"4,450.50",116.27
3/1/2011,"4,888.11",127.68
4/1/2011,"5,159.40",141.06
5/1/2011,"4,851.80",135.76
6/1/2011,"4,747.57",127.15
7/1/2011,"4,793.30",134.18
8/1/2011,"4,550.04",128.36
9/1/2011,"4,811.93",132.11
10/1/2011,"4,916.61",136.49
11/1/2011,"5,343.29",133.27
12/1/2011,"5,486.72",138.66
1/1/2012,"5,484.92",144.61
2/1/2012,"5,540.26",149.65
3/1/2012,"5,927.55",159.37
4/1/2012,"5,888.49",166.08
5/1/2012,"5,655.94",156.33
6/1/2012,"5,083.60",145.79
7/1/2012,"5,372.19",152.59
8/1/2012,"5,848.75",167.96
9/1/2012,"5,798.48",178.41
10/1/2012,"5,476.43",157.55
11/1/2012,"5,536.01",154.15
12/1/2012,"5,526.62",148.94
1/1/2013,"5,708.32",154.9
2/1/2013,"5,784.94",164.08
3/1/2013,"5,575.84",158.49
4/1/2013,"5,375.04",147.14
5/1/2013,"5,468.66",150.9
6/1/2013,"5,817.69",159.82
7/1/2013,"6,292.38",174.8
8/1/2013,"6,836.67",185.39
9/1/2013,"6,926.83",178.14
10/1/2013,"6,497.77",165.48
11/1/2013,"6,435.78",167.62
12/1/2013,"6,534.28",169.49
1/1/2014,"6,344.00",166.03
2/1/2014,"6,529.28",174.15
3/1/2014,"6,343.00",167.9
4/1/2014,"6,329.60",174.79
5/1/2014,"6,273.13",169.84
6/1/2014,"6,471.05",172.93
7/1/2014,"6,320.51",168.3
8/1/2014,"6,092.56",164.72
9/1/2014,"5,835.69",165.66
10/1/2014,"5,280.84",147.11
11/1/2014,"4,748.53",133.59
12/1/2014,"3,806.55",105.54
1/1/2015,"2,927.20",84.75
2/1/2015,"3,398.51",99.68
3/1/2015,"3,299.23",102.67
4/1/2015,"3,611.03",112.52
5/1/2015,"3,988.78",123.66
6/1/2015,"3,915.30",128.04
7/1/2015,"3,458.51",118.38
8/1/2015,"2,973.16",105.42
9/1/2015,"3,064.43",96.67
10/1/2015,"3,055.95",90.91
11/1/2015,"2,847.43",90.95
12/1/2015,"2,435.40",84.98
1/1/2016,"2,004.00",75.44
2/1/2016,"2,117.58",72.2
3/1/2016,"2,503.95",80.54
4/1/2016,"2,708.63",96.25
5/1/2016,"3,072.75",104.74
6/1/2016,"3,208.66",101.33
7/1/2016,"2,966.28",91.01
8/1/2016,"3,004.16",92.31
9/1/2016,"3,006.05",95.97
10/1/2016,"3,290.46",101.6
11/1/2016,"3,056.29",98.73
12/1/2016,"3,572.84",110.95
1/1/2017,"3,649.89",110.33
2/1/2017,"3,647.03",103.81
3/1/2017,"3,355.09",98.35
4/1/2017,"3,365.04",103.93
5/1/2017,"3,213.83",99.2
6/1/2017,"2,975.01",93.11
7/1/2017,"3,071.23",100.66
8/1/2017,"3,194.46",107.97
9/1/2017,"3,413.19",120.35
10/1/2017,"3,574.53",111.62
11/1/2017,"3,887.81",118.72
12/1/2017,"3,930.99",112.87
1/1/2018,"4,215.16",120.86
2/1/2018,"4,085.16",116.97
3/1/2018,"4,171.72",119.23
4/1/2018,"4,516.93",131
5/1/2018,"4,959.75",143.8
6/1/2018,"4,879.75",137.62
7/1/2018,"4,992.51",142.49
8/1/2018,"4,942.53",144.42
9/1/2018,"5,448.55",151.32
10/1/2018,"5,648.69",149.3
11/1/2018,"4,476.09",116.71
12/1/2018,"3,822.07",102.63
1/1/2019,"4,003.08",100.82
2/1/2019,"4,352.94",111.65
3/1/2019,"4,432.04",125.9
4/1/2019,"4,761.33",141.77
5/1/2019,"4,664.02",133.72
6/1/2019,"4,149.67",120.82
7/1/2019,"4,230.22",130.04
8/1/2019,"4,102.97",120.52
9/1/2019,"4,282.87",123.41
10/1/2019,"4,069.14",122.78
